SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
1;1.2482573600160254;-0.6980708273307504;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;-0.876976400727928;-0.9590738982621254;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.045363190002033205;-0.2840081571361545;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;1.433060295732891;-0.40813406600050295;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
1;-0.41496906143576423;-0.3739250587524583;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.41496906143576423;-0.7858213870050939;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0.04703827785639956;-0.6885759425534874;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;0.04703827785639956;-0.3966956434367029;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;1.2482573600160254;0.648811142008251;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1.5254617635913237;-0.4837606518635904;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
0;1.1558558921575928;0.09461151356497621;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;0.4166441492901306;-0.21936753001354642;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.045363190002033205;-0.1792902040872799;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;2.07987057074192;-0.7535147844687389;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;-1.246582272161659;-0.9452463296009419;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.1394397457148323;1.2943878962249102;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
0;-0.5997719971526297;-0.6958633523139427;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;1.8950676350250548;4.845488513946196;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0.7862500207238616;-0.22020047477920518;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0.5090456171485633;-0.5989606834860642;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;-1.0617793364447936;-0.9498703727650312;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;-0.3225675935773315;-0.6681979317228636;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;-0.13776465786046596;-0.6213405039592591;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.04703827785639956;-0.46976169539054285;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;0.4166441492901306;0.07301322151388093;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1;-0.41496906143576423;-0.8258507243440384;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.045363190002033205;0.3830777674694309;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;1.1558558921575928;-0.3860181827575786;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1.3406588278744582;0.06802583618864001;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-1.0617793364447936;-0.7922587132187038;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.23184121357326506;2.222668846111158;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0.4166441492901306;-0.16036213414502512;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0.1394397457148323;-0.22128707350642265;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.6921734650110625;0.03537303027231983;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
