CO_CNES;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
9134379;SECRETARIA DE ESTADO DE SAUDE;ESCOLA PRESIDENTE TANCREDO DE ALMEIDA NEVES;12;120020;-7.619.548.160.548.620;-7.267.065.525.054.930
3929531;LINS E TORRES LTDA;FISIOCLIN;12;120040;-9.961.534;-67.809.217
9881964;REVITAR PSICOMOTRICIDADE EIRELI;REVITAR;12;120040;-9.975;-67.81
9847855;CLINICA RADIODIAGNOSTICO D YURI EIRELI;RADIO FACE;12;120040;-9.962.901;-67.815.929
5547946;FISIO SAUDE LTDA;FISIO SAUDE;12;120040;-9.972.781.453.872.600;-678.255.558.013.916
5354072;PREFEITURA MUNICIPAL DE JORDAO;UNIDADE DE SAUDE DA FAMILIA ANTONIO RODRIGUES DOURADO;12;120032;-9.434.184.078.519.780;-7.188.390.970.230.100
5364647;GUSTAVO PONTES MARQUES DA SILVA;GUSTAVO PONTES MARQUES DA SILVA;12;120040;;
9653953;L V DE QUEIROZ SALES;FARMA VITOR;12;120050;-9.068.036.248.776.030;-6.865.677.237.510.680
9648534;GONCALVES E MUNIZ LTDA;INCARDIO ACRE;12;120040;-9.975;-67.81
9657959;MARIA DE FATIMA CARDOSO LIMA;PONTO CLIN;12;120040;-1.000.932;-6.779.564
9446559;CW NEUROPEDIATRIA EIRELI;CW NEUROPEDIATRIA;12;120040;-996.330;-6.781.538
9407146;PREFEITURA MUNICIPAL DE PORTO ACRE;UNIDADE ODONTOLOGICA MOVEL PORTO ACRE SORRIDENTE;12;120080;-9.725.998.054.235.420;-6.769.889.116.287.230
9552936;J V NOGUEIRA IMPORTACAO E EXPORTACAO;J V NOGUEIRA IMPORTACAO E EXPORTACAO LTDA;12;120040;-9.964.116.624.377.520;-6.782.066.345.214.840
0989541;F LUCAS DOS SANTOS;ORTHOENDO;12;120020;-76.327;-726.767
2835495;PREFEITURA MUNICIPAL DE CAPIXABA;ACADEMIA BASICA DE SAUDE;12;120017;-10.573;-67.676
0981346;ANDRE ALVES CAMELO;ANDRE ALVES CAMELO;12;120040;-99.603.365;-677.931.612
0994049;A P M DA SILVA ATAIDES;ODONTO ACRE;12;120040;-99.846.833;-678.270.538
2834456;M B LACERDA;CLINICA POPULAR VITAL BRASIL ACREVIDA CONVENIOS;12;120040;-998.387;-6.782.395
0993301;L M J F ARAUJO;ESPACO ESTAR BEM;12;120040;-99.623.621;-678.088.456
2821133;PIGOW DE SOUZA LIMA;PIGOW DE SOUZA LIMA;12;120040;-996.091;-6.780.974
2841002;LEON FABIO CAMPOS DOS SANTOS;LEON FABIO CAMPOS DOS SANTOS;12;120040;-996.525;-6.781.213
4072804;M C S MOURAO LTDA;SIM SERVICO INTERDISCIPLINAR DE SAUDE MENTAL;12;120040;-995.841;-6.781.415
3300382;DANUSA N M MORAIS LTDA;PSIDANUSANASSARA;12;120025;-11.03;-68.72
2978504;L B SOUZA GROTTI MUSICOTERAPIA LTDA;MUSICOTERAPIA LARISSA GROTTI;12;120040;-996.420;-6.780.592
0499129;SOARES LEAL LTDA;LA VIE EDUCACAO SAUDE;12;120040;-996.077;-6.780.987
0532282;MUNICIPIO DE MARECHAL THAUMATURGO;UND DE VIGILANCIA SANITARIA E EPIDEMIOLOGICA;12;120035;-894.664.975.446.015;-727.939.510.345.459
9805168;MUNICIPIO DE RIO BRANCO;LABORATORIO DE PROTESES CUIDANDO DO SEU SORRISO;12;120040;-996.956;-6.783.179
2938871;PREFEITURA MUNICIPAL DE SENA MADUREIRA;ACADEMIA DA SAUDE MANOEL FERNANDES VIEIRA;12;120050;-9.084.317.858.320.780;-6.867.591.030.519.540
4055705;M R SERVICOS MEDICOS CIRURGICOS LTDA;VIDEO LAPAROSCOPICA LTDA;12;120040;-996.040;-6.781.501
4037995;C O BESSA EIRELI;SPAZIO PSIQUE;12;120040;-996.101.565;-6.781.282.860.063.160
4080971;LUNIELLE CALDEIRA CLINICA MEDICA LTDA;LUNIELLE CALDEIRA CLINICA MEDICA LTDA;12;120040;-9.972.196;-67.813.508
4004833;MAKARIOS CENTRO CLINICA DE DESENVOLVIMENTO TERAPEUTICO LTDA;SENTIDOS CLINICA;12;120040;-996.739;-6.782.876
4015460;M A OLIVEIRA SOARES;M A ODONTOLOGIA;12;120040;-993.281;-67.837.833
2829533;SANDRA KEIKO IMAMURA;SANDRA KEIKO IMAMURA;12;120040;-99.601.863;-67.812.674
2842386;SORRIA ACRE CLINICA ODONTOLOGICA LTDA;SORRIA ACRE;12;120040;-993.431;-678.165.117
3072355;M J DE LIMA PONTES LTDA;UPAS FARMA;12;120040;-999.023;-6.782.166
2982404;FUNDACAO PIO XII BARRETOS;UNIDADE MOVEL 15 RIO BRANCO;12;120040;-10.012.000;-67.807.000
9953701;POLICLINICA MAIS SAUDE LTDA;CLINICA MAIS SAUDE;12;120040;-9.971.040;-67.809.250
9975411;J F SANTOS NETO ME;CLINICA DE FISIOTERAPIA FAUSTINO;12;120040;-9.961.868;-67.818.205
9977066;CLINICA MEDICA ODONTOLOGIA RIO BRANCO LTDA;AMOR SAUDE;12;120040;-996.392;-67.81
0068446;H Z AGUILAR EIRELI;LABORATORIO DE ANALISE CLINICAS ACRE;12;120025;-1.103.267.433;-68.741.970.062
0970638;CASSIA RIBEIRO DO VALLE;CASSIA RIBEIRO DO VALLE;12;120040;-99.563.603;-678.220.341
0974927;ABIDO ESTITES BUSSADE;ABIDO ESTITES BUSSADE;12;120040;-99.607.441;-67.813.334
0968269;LYVIA RODRIGUES DA SILVA BESSA;LYVIA RODRIGUES DA SILVA BESSA;12;120040;-99.604.987;-678.134.776
0970735;HERCULES MAGALHAES OLIVENSE DO CARMO;HERCULES MAGALHAES OLIVENSE DO CARMO;12;120040;-996.558;-6.781.744
0927023;CLINICA DE DOENCAS INFECCIOSAS PARASITARIAS E MEDICINA INTER;CLINICA DE DOENCAS INFECCIOSAS PARASITARIAS E MEDICINA INTER;12;120040;-996.054.545;-6.781.338.169.321.060
6057837;M N FREITAS;CLINICA ODONTOLOGICA RIO BRANCO;12;120040;-996.154;-6.781.360
6057896;DILZA TEREZINHA AMBROS RIBEIRO;DILZA TEREZINHA AMBROS RIBEIRO;12;120040;-9.975;-67.81
7594763;SECRETARIA DE ESTADO DE SAUDE;CENTRAL ESTADUAL DE ABASTECIMENTO FARMACEUTICO CAF;12;120040;-9.953.904;-67.819.518
7598688;SECRETARIA DE ESTADO DE SAUDE;NUCLEO TELESSAUDE ACRE;12;120040;-9.954.648.449.921.340;-678.650.164.604.187
7902670;IDILA MONT ALVERNE XAVIER DE OLIVEIRA;IDILA MONT ALVERNE XAVIER DE OLIVEIRA;12;120040;-9.959.841;-67.817.207
5707439;CENTRO FONOAUDIOCLIN LTDA;FONOAUDIOCLIN;12;120040;-996.971;-6.780.987
6076017;ALERGOYMUNE CLINICA DE ALERGIA E IMUNIZACAO LTDA;ALERGOYMUNE;12;120040;-995.812;-6.781.544
